City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
343,Morshyn,49.1565,23.8723,20.08,96,100,8.77,UA,1675632976
344,Orange Cove,36.6244,-119.3137,60.31,84,75,11.5,US,1675632977
345,Pampa,35.5362,-100.9599,69.57,24,26,12.66,US,1675632817
346,Bandarbeyla,9.4942,50.8122,74.77,75,83,15.43,SO,1675632951
347,Nizhniy Ingash,56.2,96.53,-10.98,100,98,3.36,RU,1675632978
348,Chama,47.1821,8.4636,38.03,96,100,0.0,CH,1675632978
349,Razole,16.4833,81.8333,64.71,93,15,2.8,IN,1675632979
350,Quatre Cocos,-20.2078,57.7625,80.1,81,55,11.23,MU,1675632981
351,Whitehorse,60.7161,-135.0538,11.17,85,40,10.36,CA,1675632982
352,Coria,39.9879,-6.5377,46.45,75,0,4.23,ES,1675632982
353,Inta,66.0317,60.1659,8.55,95,99,9.8,RU,1675632983
354,Dorolt,47.85,22.8167,24.82,74,3,9.22,RO,1675632984
